datetime,Haifa_broken clouds,Haifa_drizzle,Haifa_dust,Haifa_few clouds,Haifa_fog,Haifa_haze,Haifa_heavy intensity rain,Haifa_heavy intensity shower rain,Haifa_light rain,Haifa_mist,Haifa_moderate rain,Haifa_overcast clouds,Haifa_proximity thunderstorm,Haifa_scattered clouds,Haifa_shower rain,Haifa_sky is clear,Haifa_thunderstorm,Haifa_thunderstorm with heavy rain,Haifa_thunderstorm with light rain,Haifa_thunderstorm with rain,Haifa_nan,humidity,wind_direction,temperature,pressure,wind_speed
2016-12-22,0.062373364666127855,0.0,0.0,0.028393776585658895,0.0,0.0,0.0,0.0,0.050681202786843245,0.0,0.0,0.0,0.0,0.02783867023738239,0.0,0.1352908491314939,0.0,0.0,0.0,0.0,0.0,0.21677789077703877,0.130139881340342,0.0978575909016029,0.15660061925160343,0.09404615432190662
2016-12-23,0.010043249146511035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05113898516459981,0.0,0.0,0.0,0.0,0.0,0.0,0.2444677052636606,0.0,0.0,0.0,0.0,0.0,0.20541976220871053,0.1406622391365491,0.10368568816597627,0.17508884293806837,0.06949352797592431
2016-12-24,0.10446992044137442,0.0,0.0,0.027799340813658185,0.0,0.0,0.0,0.0,0.02042852092325695,0.0,0.0,0.07155727565587255,0.0,0.07081973717220919,0.0,0.0,0.0,0.017048253692516644,0.0,0.0,0.0,0.24627316151732734,0.12829872103255333,0.10120394032552381,0.14924752913350744,0.06285359929220018
2016-12-25,0.013643378063372456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11013101710990464,0.17648245309351082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25451199961864557,0.15088156083435703,0.082237433361482,0.14211071625629,0.07000144166243753
2016-12-26,0.013290163533073747,0.0,0.0,0.013357502121934192,0.0,0.0,0.0,0.0,0.16184610727656532,0.0656439435195806,0.0,0.0,0.0,0.040962678424071364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2527995609826316,0.12344690984359959,0.08910607598724117,0.1562659924571457,0.08328106585415675
2016-12-27,0.0,0.0,0.0,0.05573998767584851,0.0,0.0,0.032737826052254226,0.0,0.06000126822481821,0.15578010141058427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2669784774524141,0.14115468688508864,0.07507770931102507,0.14382603123490165,0.06870391175306535
2016-12-28,0.02814904645991557,0.0,0.0,0.10633881451478583,0.0,0.0,0.0,0.0,0.0,0.02724508296685403,0.0,0.0,0.0,0.05344941459583047,0.0,0.08605480037939704,0.0,0.0,0.0,0.0,0.0,0.24169387651072824,0.13199757321572306,0.08702609656415204,0.17257443470682673,0.06547086008578706
2016-12-29,0.0,0.0,0.0,0.08626039074688198,0.0,0.0,0.0,0.0,0.04463206159487607,0.0,0.010472248604797703,0.0,0.0,0.06283476208132295,0.0,0.10364497310660854,0.0,0.0,0.0,0.0,0.0,0.22160346657384014,0.1303713845358889,0.09648077530547776,0.14901859739580364,0.0946813400545023
2016-12-30,0.029798198113608305,0.0,0.0,0.1013951431768247,0.0,0.0,0.0,0.0,0.029705547041222764,0.0,0.020944497209595406,0.009636608896174612,0.0,0.09320362869581407,0.0,0.017201700680796923,0.0,0.0,0.0,0.0,0.0,0.20987207748826933,0.13552486767723612,0.10084015215959609,0.1653371581528221,0.08654042070803954
2016-12-31,0.05300614933548031,0.012069785728965575,0.0,0.013072435561578164,0.0,0.0,0.0,0.0,0.1111971122695463,0.0,0.0263816373127292,0.03920009120652329,0.0,0.04193050826935232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24187868038635488,0.1342352914814743,0.08400457881032218,0.17675537622508972,0.06626835341258373
2017-01-01,0.022569201329287244,0.0,0.0,0.12442189751519217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07813749963305117,0.0,0.10081707323978799,0.0,0.0,0.0,0.0,0.0,0.2540288708231191,0.08689567025375484,0.09618321733882672,0.20330500255617567,0.033641567310805094
2017-01-02,0.04293941877317714,0.0,0.0,0.02684110014457027,0.0,0.026132101594739016,0.0,0.0,0.050585771964893285,0.01311865450190223,0.0,0.039972923306495,0.0,0.06963432016442139,0.0,0.020891355523261143,0.0,0.0,0.0,0.0,0.0,0.23977102768453165,0.1431467280631887,0.0851859313644333,0.1790735524274457,0.0627071144869412
2017-01-03,0.0,0.0,0.0,0.04053695522306506,0.01484925454458476,0.040904032506493826,0.0,0.0,0.035360890574294486,0.0798659531591485,0.0,0.05981230092317482,0.0,0.026621665640512677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23225944489208747,0.14775017927367104,0.08728786416157401,0.19282677332287168,0.04192468577852165
2017-01-04,0.016294532532490098,0.0,0.0,0.053073585584095334,0.0,0.0,0.0,0.0,0.07079470098178832,0.0,0.01315241885534201,0.09817208916262597,0.0,0.027826031755374642,0.0,0.030838916353539483,0.0,0.0,0.0,0.0,0.0,0.2533372119277964,0.11038456162685016,0.09400276875055467,0.19836349823907942,0.03375968423046345
2017-01-05,0.0,0.0,0.0,0.03219708932052574,0.0,0.0,0.0,0.0,0.03185796611709939,0.0,0.0,0.021042058637247965,0.0,0.0,0.0,0.22616906331479422,0.0,0.0,0.0,0.0,0.0,0.22024842712171167,0.09891808035072293,0.10396585274818593,0.19902884965052492,0.06657261273918723
2017-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3122996904923331,0.0,0.0,0.0,0.0,0.0,0.19256713682120422,0.11071242413994832,0.11660741832072648,0.15590806882530706,0.11190526140048081
2017-01-07,0.02915946398497325,0.0,0.0,0.07184960291862828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07319429811211413,0.0,0.14257013879689936,0.0,0.0,0.0,0.0,0.0,0.19058885676914816,0.15823844356627287,0.10894262774010378,0.1414163629783722,0.08404020513348798
2017-01-08,0.0,0.0,0.0,0.11482364418931874,0.0,0.0,0.0,0.0,0.05346451382477466,0.0,0.0,0.0,0.0,0.11842413287055276,0.0,0.01985855935445015,0.0,0.0,0.0,0.0,0.0,0.18321096363156353,0.16771373075578141,0.09511910475369999,0.12032749032056957,0.12705786029928917
