datetime,Las Vegas_broken clouds,Las Vegas_drizzle,Las Vegas_dust,Las Vegas_few clouds,Las Vegas_fog,Las Vegas_haze,Las Vegas_heavy intensity drizzle,Las Vegas_heavy intensity rain,Las Vegas_light intensity drizzle,Las Vegas_light intensity shower rain,Las Vegas_light rain,Las Vegas_light snow,Las Vegas_mist,Las Vegas_moderate rain,Las Vegas_overcast clouds,Las Vegas_proximity thunderstorm,Las Vegas_scattered clouds,Las Vegas_sky is clear,Las Vegas_squalls,Las Vegas_thunderstorm,Las Vegas_thunderstorm with heavy rain,Las Vegas_thunderstorm with light rain,Las Vegas_thunderstorm with rain,Las Vegas_nan,humidity,wind_direction,temperature,pressure,wind_speed
2015-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31281438091866326,0.0,0.0,0.0,0.0,0.0,0.0,0.0617620126593828,0.19624458295257285,0.12807702844533397,0.25734348366008436,0.043758511363962756
2015-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326138514830297,0.0,0.0,0.0,0.0,0.0,0.0,0.07147919139033941,0.16428434956391283,0.13598706005969163,0.2662213289991608,0.029414218503865597
2015-11-15,0.0,0.0,0.0,0.014451480037570706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028143968728235724,0.30047008563172023,0.0,0.0,0.0,0.0,0.0,0.0,0.11031896035120801,0.1104462349261814,0.13376762273351786,0.26263111410482914,0.03977053348673692
2015-11-16,0.044578273593275236,0.0,0.0,0.04581142485476027,0.0,0.012204315976296292,0.0,0.0,0.0,0.0,0.04542888292688201,0.0,0.0,0.0,0.023282870505174313,0.0,0.0,0.10547002518643368,0.0,0.0,0.0,0.0,0.0,0.0,0.12604027391358613,0.18960064776003757,0.10901422871223256,0.19974828958082338,0.09882076699049856
2015-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29953986605412714,0.0,0.0,0.0,0.0,0.0,0.0,0.04417599118294846,0.2172270003091543,0.10662985665888347,0.24635043037334883,0.08607685542153783
2015-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32811336655919765,0.0,0.0,0.0,0.0,0.0,0.0,0.09960063117012567,0.16198267507943662,0.12448383336568751,0.26846116754373217,0.017358326281820376
2015-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32182949909204334,0.0,0.0,0.0,0.0,0.0,0.0,0.11588786895651236,0.147442989487337,0.1309743340124949,0.2617748707827267,0.02209043766888571
2015-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31771872548217744,0.0,0.0,0.0,0.0,0.0,0.0,0.14212107919435016,0.12049542489408004,0.13980493417553744,0.2560028767610481,0.02385695949280681
2015-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3458268710856369,0.0,0.0,0.0,0.0,0.0,0.0,0.0640362600451765,0.06453002798046663,0.16036918728577695,0.28941051312680205,0.07582714047614096
2015-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32741897151860355,0.0,0.0,0.0,0.0,0.0,0.0,0.04221743857422534,0.19555915584095565,0.13246161881765892,0.27124282231858693,0.03109999292996958
